rx,ry,B_x,B_y,B_z
0,0,22.03,-2.15,2.11
-0.10862068965517241,-0.3258620689655172,8.67,-3.60,7.70
-0.1568965517241379,-0.3258620689655172,8.49,-3.63,7.77
0.3017241379310345,-0.3017241379310345,7.55,-4.55,7.55
0.15689655172413797,0.3017241379310345,8.62,5.11,4.38
-0.0362068965517241,0.2775862068965518,13.21,2.95,-4.65
-0.35,0.10862068965517241,15.24,-3.17,-5.73
-0.06034482758620685,0.10862068965517241,7.31,-11.13,-0.82
0.22931034482758628,0.22931034482758628,20.69,-5.58,-1.44
-0.27758620689655167,0.20517241379310347,13.67,4.73,-3.12
0.15689655172413797,-0.3017241379310345,9.43,-9.90,-3.30
-0.20517241379310341,-0.06034482758620685,11.27,2.82,6.24
0.3258620689655173,-0.1568965517241379,14.19,-9.54,4.54
0.012068965517241403,0.35,10.49,6.05,2.85
0.13275862068965516,-0.13275862068965516,14.22,-1.21,-8.14
0.036206896551724155,-0.0362068965517241,19.44,3.13,5.39
0.2775862068965518,0.060344827586206906,23.44,-0.21,4.38
0.2775862068965518,0.18103448275862066,17.78,7.46,-0.09
-0.10862068965517241,-0.35,16.11,7.26,-2.79
0.20517241379310347,-0.18103448275862066,7.31,-3.62,9.01
0.13275862068965516,0.13275862068965516,16.52,5.05,6.46
-0.13275862068965516,0.13275862068965516,23.49,3.85,-1.61
-0.0362068965517241,0.18103448275862066,23.30,-10.00,-2.43
-0.35,0.18103448275862066,24.36,-5.13,-4.34
-0.3258620689655172,0.18103448275862066,7.51,-13.05,-3.02
0.15689655172413797,0.012068965517241403,8.68,-13.52,-3.25
-0.0362068965517241,0.22931034482758628,22.31,3.69,1.18
0.20517241379310347,-0.0362068965517241,21.00,-4.01,-5.82
-0.20517241379310341,-0.18103448275862066,19.47,5.47,2.16
0.060344827586206906,0.253448275862069,11.55,-8.46,7.81
-0.3258620689655172,0.253448275862069,19.07,0.14,-5.48
-0.13275862068965516,0.35,6.64,-10.49,-4.44
0.3017241379310345,0.060344827586206906,10.98,-6.41,-7.40
0.012068965517241403,0.036206896551724155,16.24,7.66,-0.68
-0.2293103448275862,0.012068965517241403,25.68,-1.54,1.46
-0.35,-0.18103448275862066,16.49,-12.37,2.83
0.22931034482758628,0.3017241379310345,4.97,-9.66,5.56
0.036206896551724155,0.13275862068965516,13.13,4.76,-4.67
-0.10862068965517241,0.060344827586206906,23.37,-0.37,-2.58
0.012068965517241403,0.3017241379310345,23.37,-8.12,0.59
