rx,ry,B_x,B_y,B_z
-0.325862069,0.181034483,11.07,-13.72,-2.52
-0.35,-0.325862069,10.86,-10.41,2.94
0.35,-0.084482759,9.25,4.42,1.35
-0.10862069,-0.132758621,22.71,-7.5,9.66
0.084482759,0.181034483,25.56,4.54,-6.53
-0.156896552,-0.325862069,13.19,-6.19,5.65
0.181034483,-0.156896552,13.34,4.56,5.19
-0.229310345,-0.35,11.64,-7.09,5.37
0.10862069,0.036206897,27.87,7.75,1.42
0.253448276,-0.012068966,13.53,7.89,1.24
0.229310345,-0.205172414,11.12,4.78,3.49
-0.084482759,-0.132758621,23.54,-5.73,9.99
0.012068966,-0.277586207,14.82,-1.35,8.31
-0.325862069,0.10862069,11.83,-14.88,-1.18
-0.156896552,0.156896552,25.85,-14.71,-6.66
-0.156896552,-0.156896552,19.88,-10.93,7.87
-0.35,0.156896552,10.97,-14.55,-1.79
-0.156896552,0.012068966,30.45,-15.45,2.44
-0.156896552,0.181034483,25.31,-13.69,-7.26
-0.229310345,-0.205172414,13.38,-11.2,5.87
0.301724138,-0.156896552,10.04,3.98,2.62
0.084482759,-0.301724138,11.76,1.03,5.94
-0.301724138,0.301724138,11,-11.56,-4.78
-0.253448276,-0.060344828,17.27,-15.77,3.98
-0.205172414,0.084482759,25.17,-17.44,-1.49
-0.277586207,-0.060344828,15.99,-15.96,3.61
0.301724138,-0.036206897,10.3,4.98,1.37
-0.277586207,0.060344828,16.5,-15.8,-0.25
0.156896552,0.156896552,19.75,6.44,-4.6
0.060344828,0.301724138,15.83,1.59,-8.53
-0.156896552,-0.10862069,22.61,-10.9,7.28
0.10862069,0.084482759,28.11,7.09,-1.35
0.205172414,-0.084482759,15.43,7.2,3.22
-0.277586207,-0.084482759,14.13,-13.28,4.73
0.060344828,-0.012068966,30.89,4.13,4.96
-0.229310345,-0.253448276,12.77,-8.66,6.29
-0.229310345,0.229310345,14.82,-13.05,-5.84
0.036206897,-0.036206897,31.62,2.63,5.5
0.181034483,0.084482759,20.39,9,-0.93
0.10862069,-0.084482759,22.2,6.63,5.69
0.301724138,-0.205172414,10.71,4.61,2.44
-0.253448276,0.156896552,16.2,-14.61,-4.09
0.156896552,-0.156896552,15.05,4.05,5.11
0.253448276,-0.325862069,10.96,2.98,2.72
-0.205172414,-0.325862069,10.89,-6.95,5.49
-0.301724138,0.205172414,11.39,-13.76,-3.83
0.277586207,0.132758621,10.66,5.6,-2.22
-0.084482759,-0.35,12.97,-3.78,6.2
-0.253448276,0.325862069,11.76,-10.87,-5.65
0.156896552,0.277586207,12.78,3.42,-6.55
-0.205172414,-0.181034483,14.89,-10.12,6.68
0.253448276,-0.060344828,11.56,5.68,2.58
-0.10862069,-0.253448276,13.8,-5.19,8.1
0.277586207,0.205172414,10.5,5.34,-2.21
0.036206897,-0.060344828,28.78,3.75,6.85
0.084482759,0.35,13.81,1.53,-6.73
0.325862069,0.205172414,9.59,5.18,-2.64
0.229310345,0.181034483,12.42,6.3,-3.56
0.301724138,0.012068966,10.05,6.41,0.01
-0.060344828,-0.205172414,17.27,-3.74,9.21
-0.205172414,0.012068966,25.08,-16.41,3.68
-0.156896552,-0.35,13.22,-7.34,6.08
0.036206897,0.301724138,16.05,-0.09,-8.46
-0.156896552,-0.229310345,14.47,-7.9,7.09
0.156896552,-0.229310345,12.21,2.68,5.72
0.036206897,0.325862069,14.11,0.08,-8.02
0.10862069,-0.156896552,17.71,4.29,6.24
0.060344828,-0.060344828,26.85,4.77,7.2
0.325862069,0.277586207,10.73,4.98,-1.96
0.229310345,-0.301724138,10.44,3.01,2.75
0.277586207,0.301724138,10.23,4.53,-3.27
0.229310345,-0.060344828,13.48,7.09,2.49
-0.156896552,-0.181034483,16.5,-8.65,8.73
-0.181034483,-0.132758621,18.44,-11.77,8.75
0.060344828,0.325862069,14.32,-0.03,-7.71
0.253448276,0.084482759,12.67,7.36,-1.57
0.277586207,0.156896552,10.71,6.77,-2.2
0.036206897,0.132758621,31.53,3.86,-6.04
0.084482759,-0.205172414,17.13,2.57,6.95
0.012068966,-0.325862069,13.46,-1.06,7
0.229310345,-0.012068966,14.24,7.69,2.12
-0.277586207,-0.253448276,11.22,-9.3,5.52
0.277586207,-0.012068966,10.74,6.06,1.41
-0.35,0.060344828,10.46,-14.16,-0.11
-0.060344828,0.156896552,32.84,-7.39,-8.2
0.156896552,-0.10862069,18.65,6.05,4.7
-0.156896552,-0.084482759,24.58,-10.98,8.34
-0.132758621,-0.205172414,17.38,-8.28,9.13
-0.084482759,-0.036206897,33.06,-7.93,8.21
0.10862069,-0.277586207,13.73,1.22,6.38
0.084482759,0.10862069,29.42,7.18,-2.95
-0.156896552,-0.132758621,21.73,-9.75,8.21
0.35,0.205172414,9.81,4.34,-1.21
0.012068966,0.012068966,35.5,2.25,3.15
-0.132758621,-0.253448276,15.18,-6.5,7.84
-0.156896552,-0.060344828,25.24,-12.48,7.78
-0.012068966,-0.156896552,22.36,-2.36,10
0.156896552,-0.060344828,19.72,7.24,5.03
-0.084482759,-0.205172414,17.77,-4.67,9.31
0.205172414,-0.10862069,13.63,5.71,4.41
-0.277586207,0.132758621,15.21,-14.96,-2.68
0.301724138,0.301724138,10.39,3.31,-3.32
-0.036206897,-0.301724138,13.51,-2.58,7.07
0.10862069,-0.060344828,23.5,6.22,6.44
0.301724138,-0.060344828,10.84,6.22,1.85
0.325862069,-0.10862069,9.58,5.46,1.48
-0.277586207,0.012068966,16.17,-15.83,1.86
-0.156896552,-0.205172414,15.77,-9.64,8.18
-0.036206897,0.084482759,39.48,-4.6,-1.34
-0.181034483,0.205172414,21.99,-13.21,-7.28
-0.229310345,-0.060344828,19.85,-15.8,4.32
0.012068966,-0.35,13.81,-2.35,6.32
0.132758621,-0.060344828,21.33,7.08,5.42
0.084482759,0.277586207,16.91,3.05,-7.78
0.012068966,0.156896552,30.36,1.49,-8.57
0.301724138,0.325862069,11.55,4.24,-3.75
0.132758621,-0.012068966,23.99,8.16,3.13
0.060344828,-0.036206897,30.29,5.37,6.14
-0.181034483,-0.253448276,13.43,-7.8,7.38
-0.060344828,-0.084482759,27.77,-5.5,9.96
-0.132758621,0.156896552,29.8,-12.51,-5.98
-0.084482759,0.012068966,38.16,-9.82,2.7
0.084482759,-0.253448276,15.13,0.76,6.94
-0.205172414,-0.012068966,23.74,-15.48,4.54
-0.229310345,-0.084482759,18.76,-14.92,6.05
-0.156896552,0.084482759,31.1,-15.62,-1.35
0.229310345,-0.084482759,13.79,5.46,2.84
0.35,0.10862069,9.15,5.89,-0.4
-0.253448276,0.012068966,18.45,-16.03,1.92
0.301724138,0.060344828,10.51,5.21,-0.21
0.229310345,0.132758621,13.53,7.5,-2.24
0.012068966,0.181034483,28.57,1.08,-8.63
-0.012068966,-0.35,14.62,-2.01,5.57
-0.060344828,0.35,13.84,-4.42,-8.15
0.012068966,0.10862069,34.74,0.83,-6.13
0.253448276,-0.181034483,12.29,4.67,2.56
0.205172414,0.036206897,16.49,8.42,0.67
-0.181034483,-0.325862069,12.29,-6.33,5.98
0.060344828,0.012068966,32.12,5.09,3.87
0.10862069,0.10862069,28,8.18,-2.81
-0.35,0.277586207,11.47,-11.6,-4.24
0.012068966,-0.012068966,35.13,0.95,4.66
-0.012068966,0.156896552,34.49,-0.96,-7.18
0.036206897,-0.084482759,28.46,2.56,7.48
0.301724138,-0.10862069,10.99,5.4,2.41
0.253448276,-0.229310345,10.36,4.14,2.82
-0.060344828,-0.036206897,33.72,-4.81,7.34
0.229310345,0.229310345,12.77,5.1,-3.49
0.036206897,0.012068966,33.91,4.51,2.32
