rx,ry,B_x,B_y,B_z
-0.343306897,-0.036128621,18.61,-17.02,0.43
-0.216821724,-0.433653448,13.16,-8.67,3.92
-0.090336552,-0.379445517,16.8,-4.87,4.77
-0.180683103,-0.198752414,24.48,-9.78,4.02
-0.162613793,-0.379445517,16.76,-7.4,4.6
-0.397514828,-0.216821724,12.64,-13.9,2.47
-0.090336552,-0.524,12.98,-5.07,4.34
-0.524,-0.379445517,10.67,-12.1,2.59
-0.307168276,-0.325237586,14.02,-11.47,3.6
-0.234891034,-0.397514828,13.73,-8.99,4.21
-0.343306897,-0.162613793,17.59,-15.05,2.43
-0.090336552,-0.054197931,33.76,-7.55,1.37
-0.271029655,-0.487861379,13.27,-8.5,3.57
-0.180683103,-0.180683103,24.91,-10.31,3.7
-0.415584138,-0.198752414,13.03,-14.44,2.08
-0.487861379,-0.379445517,10.46,-13.17,2.26
-0.072267241,-0.090336552,32.79,-6.01,2.31
-0.198752414,-0.469792069,14.08,-6.98,4.06
-0.162613793,-0.234891034,23.27,-8.39,4.33
-0.234891034,-0.325237586,17.31,-9.76,4.23
-0.162613793,-0.397514828,15.45,-7.01,4.6
-0.361376207,-0.271029655,13.21,-12.76,3.06
-0.524,-0.180683103,9.84,-14.71,1.49
-0.289098966,-0.108405862,21.45,-15.23,1.74
-0.01805931,-0.180683103,28.27,-2.39,3.72
-0.144544483,-0.180683103,28.36,-7.52,3.51
-0.252960345,-0.397514828,14.18,-8.97,3.88
-0.361376207,-0.415584138,11.39,-10.65,3.31
-0.108405862,-0.379445517,16.47,-5.33,4.86
-0.252960345,-0.289098966,17.57,-10.61,4.22
-0.469792069,-0.524,12.25,-11.06,2.94
-0.036128621,-0.307168276,21.48,-2.49,5.04
-0.361376207,-0.50593069,11.69,-9.35,3.73
-0.50593069,-0.234891034,9.96,-14.12,2.01
-0.343306897,-0.180683103,17.79,-15.3,2.53
-0.271029655,-0.397514828,13.27,-10.08,4.04
-0.162613793,-0.108405862,28.84,-10.71,2.69
-0.50593069,-0.252960345,11.26,-13.83,1.8
-0.054197931,-0.072267241,33.21,-4.39,1.74
-0.361376207,-0.01805931,18.83,-15.65,-0.09
-0.307168276,-0.289098966,15.8,-12.61,3.08
-0.036128621,-0.415584138,15.53,-2.83,4.58
-0.216821724,-0.234891034,21.92,-10.19,4.19
-0.397514828,-0.397514828,11.46,-11.63,3.35
-0.108405862,-0.216821724,25.49,-6.97,4.5
-0.126475172,-0.397514828,16.61,-5.57,4.86
-0.054197931,-0.144544483,30.18,-3.79,3.82
-0.108405862,-0.487861379,14.4,-4.37,4.6
-0.072267241,-0.216821724,25.17,-4.49,4.75
-0.307168276,-0.090336552,21.93,-15.37,1.67
-0.415584138,-0.180683103,13.13,-15.09,1.78
-0.036128621,-0.50593069,13.4,-3.31,4.33
-0.180683103,-0.379445517,15.39,-6.95,4.5
-0.433653448,-0.524,12.01,-10.14,3.09
-0.234891034,-0.487861379,11.8,-7.69,3.95
-0.524,-0.108405862,9.99,-14.99,0.93
-0.343306897,-0.397514828,11.23,-11.19,3.23
-0.198752414,-0.108405862,26.78,-12.5,2.46
-0.216821724,-0.072267241,27.8,-13.75,1.65
-0.054197931,-0.343306897,20.2,-3.54,4.62
-0.234891034,-0.361376207,15.57,-8.75,4.37
-0.50593069,-0.415584138,11.14,-11.93,2.86
-0.379445517,-0.01805931,17.76,-17.16,0.04
-0.108405862,-0.343306897,19.47,-5.67,4.39
-0.50593069,-0.198752414,10.66,-14.04,1.85
-0.524,0.00001,9.79,-15.99,-0.14
